"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4652","vea.ru - Проверка меню услуг","Mobile Chrome","Sun Aug 17 09:25:57 MSK 2025","passed","Sun Aug 17 09:26:01 MSK 2025","Проверка работоспособности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6583","litera.studio - Проверка бургер-меню","Mobile Chrome","Sun Aug 17 09:25:26 MSK 2025","passed","Sun Aug 17 09:25:33 MSK 2025","Проверка работоспособности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","22547","copy.ru - Проверка поиска","Desktop Chrome","Sun Aug 17 09:18:39 MSK 2025","passed","Sun Aug 17 09:19:02 MSK 2025","Проверка работоспособности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5772","1-tm.ru - Проверка бургер-меню","Mobile Chrome","Sun Aug 17 09:24:56 MSK 2025","passed","Sun Aug 17 09:25:02 MSK 2025","Проверка работоспособности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6321","litera.studio - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","Sun Aug 17 09:19:44 MSK 2025","passed","Sun Aug 17 09:19:51 MSK 2025","Проверка работоспособности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4296","vea.ru - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","Sun Aug 17 09:20:15 MSK 2025","passed","Sun Aug 17 09:20:19 MSK 2025","Проверка работоспособности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6436","litera.studio - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","Sun Aug 17 09:25:33 MSK 2025","passed","Sun Aug 17 09:25:39 MSK 2025","Проверка работоспособности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9870","litera.studio - Проверка главной страницы","Mobile Chrome","Sun Aug 17 09:25:17 MSK 2025","passed","Sun Aug 17 09:25:26 MSK 2025","Проверка работоспособности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6464","litera.studio - Проверка бургер-меню","Desktop Chrome","Sun Aug 17 09:19:38 MSK 2025","passed","Sun Aug 17 09:19:44 MSK 2025","Проверка работоспособности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6187","1-tm.ru - Проверка бургер-меню","Desktop Chrome","Sun Aug 17 09:19:09 MSK 2025","passed","Sun Aug 17 09:19:15 MSK 2025","Проверка работоспособности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4605","1-tm.ru - Проверка поп-апа ""Онлайн-консультация""","Desktop Chrome","Sun Aug 17 09:19:15 MSK 2025","passed","Sun Aug 17 09:19:20 MSK 2025","Проверка работоспособности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","16087","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","Sun Aug 17 09:22:56 MSK 2025","passed","Sun Aug 17 09:23:12 MSK 2025","Проверка работоспособности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17416","copy.ru - Проверка главной страницы","Mobile Chrome","Sun Aug 17 09:23:38 MSK 2025","passed","Sun Aug 17 09:23:55 MSK 2025","Проверка работоспособности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19060","mdmprint.ru - Проверка главной страницы","Desktop Chrome","Sun Aug 17 09:16:30 MSK 2025","passed","Sun Aug 17 09:16:49 MSK 2025","Проверка работоспособности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5266","sequoiapay.io - Проверка главной страницы","Desktop Chrome","Sun Aug 17 09:20:19 MSK 2025","passed","Sun Aug 17 09:20:25 MSK 2025","Проверка работоспособности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","18402","mdmprint.ru - Проверка меню каталога","Mobile Chrome","Sun Aug 17 09:22:37 MSK 2025","passed","Sun Aug 17 09:22:56 MSK 2025","Проверка работоспособности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4768","vea.ru - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","Sun Aug 17 09:26:01 MSK 2025","passed","Sun Aug 17 09:26:06 MSK 2025","Проверка работоспособности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","16237","copy.ru - Проверка меню каталога","Mobile Chrome","Sun Aug 17 09:23:55 MSK 2025","passed","Sun Aug 17 09:24:11 MSK 2025","Проверка работоспособности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17408","copy.ru - Проверка главной страницы","Desktop Chrome","Sun Aug 17 09:17:50 MSK 2025","passed","Sun Aug 17 09:18:07 MSK 2025","Проверка работоспособности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","18247","mdmprint.ru - Проверка меню каталога","Desktop Chrome","Sun Aug 17 09:16:49 MSK 2025","passed","Sun Aug 17 09:17:07 MSK 2025","Проверка работоспособности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
