"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12155","copy.ru - Проверка главной страницы","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4232","vea.ru - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19949","copy.ru - Проверка поиска","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7515","1-tm.ru - Проверка главной страницы","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","12366","1-tm.ru - Проверка поиска","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","29394","mdmprint.ru - Проверка меню каталога","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11043","copy.ru - Проверка меню каталога","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6058","sequoiapay.io - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","12402","copy.ru - Проверка меню каталога","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","24310","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10363","1-tm.ru - Проверка поиска","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17388","litera.studio - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","29912","mdmprint.ru - Проверка главной страницы","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","28883","litera.studio - Проверка поиска","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4411","vea.ru - Проверка меню услуг","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","18335","copy.ru - Проверка поиска","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","14019","litera.studio - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4243","vea.ru - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","24412","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7712","1-tm.ru - Проверка бургер-меню","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","14025","litera.studio - Проверка бургер-меню","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5933","vea.ru - Проверка главной страницы","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7826","1-tm.ru - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11121","copy.ru - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4402","vea.ru - Проверка меню услуг","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","38707","mdmprint.ru - Проверка поиска","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10946","copy.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13648","litera.studio - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","29706","mdmprint.ru - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5393","vea.ru - Проверка главной страницы","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7438","1-tm.ru - Проверка бургер-меню","Mobile Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","20833","litera.studio - Проверка поиска","Desktop Chrome","2026-04-18","passed","2026-04-18","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
