"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4204","sequoiapay.io - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5389","1-tm.ru - Проверка поп-апа ""Онлайн-консультация""","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11337","copy.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9039","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5622","vea.ru - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17960","copy.ru - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","3876","vea.ru - Проверка меню услуг","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","41824","mdmprint.ru - Проверка поиска","Desktop Chrome","2026-05-20","broken","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9092","mdmprint.ru - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","3609","vea.ru - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","10111","1-tm.ru - Проверка поиска","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7672","1-tm.ru - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","15934","litera.studio - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","14296","litera.studio - Проверка бургер-меню","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","38904","copy.ru - Проверка поиска","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","14597","copy.ru - Проверка меню каталога","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","17965","mdmprint.ru - Проверка поиска","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","3841","vea.ru - Проверка меню услуг","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","9972","mdmprint.ru - Проверка меню каталога","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11477","mdmprint.ru - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","3658","vea.ru - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","5766","sequoiapay.io - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > sequoiapay.io - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4867","vea.ru - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > vea.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13250","litera.studio - Проверка поп-апа ""Оставьте заявку""","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","6723","1-tm.ru - Проверка бургер-меню","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","25135","copy.ru - Проверка поиска","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","12716","copy.ru - Проверка поп-апа ""Быстрый заказ""","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","16931","litera.studio - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","11156","1-tm.ru - Проверка поиска","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","24720","copy.ru - Проверка меню каталога","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19271","litera.studio - Проверка поиска","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","42255","mdmprint.ru - Проверка меню каталога","Mobile Chrome","2026-05-20","broken","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","14257","litera.studio - Проверка бургер-меню","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","21384","copy.ru - Проверка главной страницы","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > copy.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","19058","litera.studio - Проверка поиска","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","8968","mdmprint.ru - Проверка поп-апа ""Быстрый заказ""","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > mdmprint.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","13249","litera.studio - Проверка поп-апа ""Оставьте заявку""","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > litera.studio - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","8005","1-tm.ru - Проверка бургер-меню","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","7548","1-tm.ru - Проверка главной страницы","Desktop Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
"","4892","1-tm.ru - Проверка поп-апа ""Онлайн-консультация""","Mobile Chrome","2026-05-20","passed","2026-05-20","Проверка доступности сайтов > 1-tm.ru - Проверка сайта","sitesWorkabilityCheking.spec.ts","",""
